1, 4.25925e-09
2, 1.70369e-08
3, 3.83327e-08
4, 6.81464e-08
5, 1.06477e-07
6, 1.53325e-07
7, 2.08688e-07
8, 2.72566e-07
9, 3.44958e-07
10, 4.25862e-07
11, 5.15277e-07
12, 6.13202e-07
13, 7.19634e-07
14, 8.34573e-07
15, 9.58016e-07
16, 1.08996e-06
17, 1.2304e-06
18, 1.37935e-06
19, 1.53678e-06
20, 1.70271e-06
21, 1.87713e-06
22, 2.06003e-06
23, 2.25142e-06
24, 2.45129e-06
25, 2.65963e-06
26, 2.87645e-06
27, 3.10173e-06
28, 3.33549e-06
29, 3.5777e-06
30, 3.82837e-06
31, 4.08749e-06
32, 4.35507e-06
33, 4.63109e-06
34, 4.91554e-06
35, 5.20843e-06
36, 5.50976e-06
37, 5.8195e-06
38, 6.13767e-06
39, 6.46425e-06
40, 6.79924e-06
41, 7.14263e-06
42, 7.49442e-06
43, 7.8546e-06
44, 8.22316e-06
45, 8.60011e-06
46, 8.98543e-06
47, 9.37911e-06
48, 9.78115e-06
49, 1.01915e-05
50, 1.06103e-05
51, 1.10374e-05
52, 1.14728e-05
53, 1.19165e-05
54, 1.23686e-05
55, 1.28289e-05
56, 1.32976e-05
57, 1.37746e-05
58, 1.42598e-05
59, 1.47533e-05
60, 1.52551e-05
