0.253083, 0.0103844, 0.00368352
0.422326, 0.0172797, 0.00614643
0.619428, 0.0252005, 0.00901399
0.795943, 0.0321969, 0.0115813
0.915, 0.0366942, 0.0133114
1.06879, 0.0427376, 0.0155479
1.18391, 0.0470658, 0.0172205
1.34813, 0.0532812, 0.0196069
1.48346, 0.0582852, 0.0215726
1.59207, 0.0621825, 0.0231493
1.74979, 0.0679359, 0.0254396
1.89089, 0.0729747, 0.0274878
2.04137, 0.078308, 0.0296719
2.18445, 0.0832889, 0.0317479
2.35606, 0.0892842, 0.0342378
2.50942, 0.0945127, 0.0364622
2.7155, 0.101643, 0.0394518
2.88348, 0.10726, 0.0418873
2.97384, 0.10993, 0.0431947
3.1225, 0.114699, 0.0453485
3.27116, 0.119399, 0.0475018
3.41151, 0.123728, 0.0495339
3.59446, 0.129528, 0.052184
3.67199, 0.131467, 0.0533031
3.85639, 0.137172, 0.0559729
3.93644, 0.139103, 0.0571278
4.10242, 0.144014, 0.0595293
4.20702, 0.146707, 0.0610396
4.4062, 0.152627, 0.0639217
4.55304, 0.156654, 0.0660437
4.76919, 0.162981, 0.0691705
4.88245, 0.165714, 0.0708043
5.05492, 0.170391, 0.0732962
5.14038, 0.172075, 0.074526
5.33269, 0.177271, 0.0773045
