1,4070.95,-21815.4,408.786
2,6751.42,-23739.7,1417.52
3,8659.6,-25411.5,2489.93
4,9249.62,-26724,3503.41
5,8557.22,-27676.4,4423.55
6,6975.92,-28334.7,5289.4
7,5004.26,-28793.4,6183.2
8,3064.53,-29155.1,7186.51
9,1421.62,-29518.1,8343.81
10,181.875,-29966,9647.98
11,-665.77,-30557.8,11048
12,-1198.21,-31322,12469.5
13,-1514.8,-32257.8,13835.4
14,-1708.14,-33343.1,15081.7
15,-1848.87,-34546.4,16163.1
16,-1981.66,-35837.6,17053.5
17,-2129.03,-37194.7,17742.5
18,-2299.49,-38605.3,18231.5
19,-2496.22,-40064,18530.2
20,-2723.56,-41567,18655.2
21,-2990.01,-43108.4,18628
22,-3307.56,-44677.3,18473.7
23,-3688.86,-46258.3,18220
24,-4143.42,-47833,17895.5
25,-4674.63,-49382.9,17527.8
26,-5278.04,-50891.7,17142.5
27,-5941.21,-52347.3,16761.7
28,-6644.94,-53742.2,16402.7
29,-7365.15,-55073.1,16077.8
30,-8075.05,-56340,15793.7
31,-8747.17,-57544.6,15552.2
32,-9355.09,-58688.8,15350.1
33,-9874.67,-59773.9,15181
34,-10284.9,-60800,15035.9
35,-10568.5,-61765.4,14904.5
36,-10712.3,-62667.1,14776.5
37,-10707.4,-63500.9,14642.4
38,-10549.4,-64262.1,14494.3
39,-10238.6,-64945.8,14326.5
40,-9779.9,-65547.3,14135.9
41,-9182.67,-66062.8,13921.7
42,-8460.47,-66489.6,13685.9
43,-7630.4,-66826.7,13432.6
44,-6712.51,-67074.9,13168.4
45,-5728.69,-67237.2,12901.3
46,-4701.96,-67318.8,12640.7
47,-3655.35,-67327.8,12396.6
48,-2611.07,-67274.7,12179.2
49,-1589.79,-67172.4,11998
50,-610.041,-67036,11861.2
51,312.235,-66882.4,11775
52,1163.89,-66729.4,11743
53,1934.71,-66595.2,11766.1
54,2617.36,-66497.6,11841.5
55,3207.39,-66453.2,11963.6
56,3702.94,-66476.6,12123.3
57,4104.59,-66579.6,12309
58,4415.07,-66771,12506.8
59,4638.94,-67056.4,12701.4
60,4782.14,-67437.8,12876.7
61,4851.73,-67913.8,13016.9
62,4855.26,-68480.3,13106.9
63,4800.41,-69130.3,13133.4
64,4694.5,-69855,13085.3
65,4544.14,-70644,12954
66,4354.83,-71486.2,12733.7
67,4130.84,-72370,12421.6
68,3875.06,-73284.2,12017.6
69,3589.04,-74217.9,11523.9
70,3273.2,-75161.3,10945.1
71,2927.02,-76105.3,10287.5
72,2549.42,-77042.4,9558.8
73,2139.07,-77965.7,8767.51
74,1694.72,-78869.6,7922.85
75,1215.55,-79749.6,7034.3
76,701.355,-80601.6,6111.35
77,152.749,-81422.6,5163.4
78,-428.721,-82210,4199.55
79,-1040.58,-82961.5,3228.65
80,-1679.4,-83675.5,2259.21
81,-2340.91,-84350.8,1299.42
82,-3020.06,-84986.3,357.183
83,-3711.17,-85581.5,-559.915
84,-4408.02,-86136.5,-1444.6
85,-5104.05,-86651.9,-2289.94
86,-5792.48,-87128.7,-3089.46
87,-6466.53,-87568.9,-3837.22
88,-7119.57,-87974.9,-4527.94
89,-7745.34,-88350.1,-5157.13
90,-8338.15,-88698.6,-5721.27
91,-8893,-89024.8,-6217.89
92,-9405.83,-89334.2,-6645.73
93,-9873.6,-89632.4,-7004.78
94,-10294.4,-89925.6,-7296.33
95,-10667.4,-90219.9,-7522.95
96,-10993,-90521.7,-7688.43
97,-11272.8,-90837.1,-7797.68
98,-11509.3,-91171.9,-7856.56
99,-11705.7,-91531.4,-7871.69
100,-11866.2,-91920.3,-7850.26
101,-11995.1,-92342.5,-7799.74
102,-12097.1,-92800.9,-7727.72
103,-12176.9,-93297.6,-7641.62
104,-12239,-93833.8,-7548.55
105,-12287.5,-94409.3,-7455.05
106,-12326.1,-95023.2,-7367.03
107,-12357.6,-95673.6,-7289.57
108,-12384.5,-96357.7,-7226.93
109,-12408.4,-97071.8,-7182.44
110,-12430.3,-97811.7,-7158.59
111,-12450.5,-98572.8,-7156.94
112,-12469,-99349.9,-7178.31
113,-12485.5,-100138,-7222.73
114,-12499.4,-100932,-7289.62
115,-12510.3,-101726,-7377.83
116,-12517.8,-102517,-7485.75
117,-12521.8,-103300,-7611.4
118,-12522.7,-104072,-7752.51
119,-12521.4,-104829,-7906.56
120,-12519.4,-105571,-8070.91
121,-12518.7,-106296,-8242.8
122,-12521.8,-107003,-8419.4
123,-12532.1,-107694,-8597.86
124,-12553.2,-108370,-8775.33
125,-12588.8,-109033,-8949.02
126,-12643.3,-109686,-9116.17
127,-12720.6,-110331,-9274.13
128,-12824.8,-110974,-9420.37
129,-12959.7,-111617,-9552.51
130,-13128.3,-112264,-9668.41
131,-13333.3,-112921,-9766.12
132,-13576.6,-113591,-9844.03
133,-13859.3,-114277,-9900.84
134,-14181.3,-114983,-9935.65
135,-14542.1,-115712,-9947.95
136,-14939.8,-116466,-9937.72
137,-15371.9,-117246,-9905.39
138,-15835,-118055,-9851.92
139,-16325,-118891,-9778.71
140,-16837.2,-119755,-9687.65
141,-17366.3,-120645,-9581.07
142,-17906.8,-121560,-9461.71
143,-18453,-122495,-9332.61
144,-18999,-123449,-9197.13
145,-19539.1,-124416,-9058.79
146,-20067.8,-125393,-8921.23
147,-20580,-126374,-8788.14
148,-21070.8,-127354,-8663.14
149,-21535.9,-128328,-8549.72
150,-21971.6,-129288,-8451.2
151,-22374.9,-130231,-8370.62
152,-22743.2,-131149,-8310.72
153,-23074.6,-132038,-8273.88
154,-23368.1,-132891,-8262.09
155,-23622.8,-133705,-8276.97
156,-23838.8,-134474,-8319.69
157,-24016.5,-135194,-8391.03
158,-24157.1,-135863,-8491.37
159,-24261.8,-136477,-8620.7
160,-24332.7,-137035,-8778.63
161,-24371.9,-137534,-8964.43
162,-24382,-137974,-9177.06
163,-24365.9,-138356,-9415.14
164,-24326.7,-138679,-9677.07
165,-24267.7,-138945,-9960.97
166,-24192.6,-139155,-10264.8
167,-24104.9,-139313,-10586.2
168,-24008.6,-139420,-10922.8
169,-23907.6,-139480,-11272
170,-23805.9,-139496,-11631.2
171,-23707.7,-139472,-11997.6
172,-23617,-139412,-12368.4
173,-23537.9,-139318,-12740.9
174,-23474.4,-139196,-13112.2
175,-23430.2,-139049,-13479.8
176,-23409.1,-138879,-13840.9
177,-23414.3,-138691,-14193.2
178,-23449.1,-138486,-14534.3
179,-23516.2,-138268,-14862.2
180,-23617.8,-138038,-15174.9
181,-23755.8,-137799,-15470.9
182,-23931.7,-137551,-15748.7
183,-24146.1,-137295,-16007.4
184,-24399.3,-137032,-16246.1
185,-24691.2,-136762,-16464.2
186,-25020.6,-136484,-16661.7
187,-25386.2,-136198,-16838.5
188,-25786,-135902,-16994.8
189,-26217.5,-135595,-17131.3
190,-26677.7,-135276,-17248.5
191,-27163.3,-134943,-17347.3
192,-27670.4,-134594,-17428.6
193,-28195.3,-134227,-17493.6
194,-28733.6,-133840,-17543.2
195,-29281,-133431,-17578.5
196,-29833.2,-132999,-17600.7
197,-30385.8,-132541,-17610.7
198,-30934.6,-132057,-17609.4
199,-31475.3,-131545,-17597.7
200,-32004.1,-131003,-17576.2
201,-32517.3,-130432,-17545.6
202,-33011.3,-129831,-17506.1
203,-33483.2,-129199,-17458.2
204,-33930.1,-128537,-17401.8
205,-34349.5,-127845,-17337.1
206,-34739.3,-127124,-17263.9
207,-35097.7,-126374,-17181.9
208,-35423.2,-125598,-17090.9
209,-35714.7,-124797,-16990.4
210,-35971.3,-123972,-16880
211,-36192.5,-123125,-16759.2
212,-36377.7,-122259,-16627.6
213,-36527.1,-121375,-16484.6
214,-36640.5,-120477,-16329.8
215,-36718.5,-119566,-16162.8
216,-36761.3,-118644,-15983.4
217,-36769.7,-117714,-15791.2
218,-36744.4,-116778,-15586.1
219,-36686.3,-115837,-15368.1
220,-36596.5,-114895,-15137.2
221,-36476,-113951,-14893.5
222,-36326.1,-113008,-14637.4
223,-36148.2,-112067,-14369.1
224,-35943.7,-111128,-14089.3
225,-35714.2,-110193,-13798.3
226,-35461.4,-109262,-13497
227,-35187.1,-108334,-13186
228,-34893.1,-107409,-12866.1
229,-34581.5,-106489,-12538.3
230,-34254.3,-105571,-12203.3
231,-33913.9,-104655,-11862.2
232,-33562.4,-103741,-11515.8
233,-33202.4,-102828,-11165.2
234,-32836.2,-101914,-10811.3
235,-32466.7,-100999,-10455.1
236,-32096.3,-100082,-10097.5
237,-31727.8,-99162.5,-9739.39
238,-31364,-98238.8,-9381.71
239,-31007.6,-97310.6,-9025.26
240,-30661.5,-96377.5,-8670.83
241,-30328.3,-95439.1,-8319.19
242,-30010.7,-94495.1,-7971.05
243,-29711.3,-93545.5,-7627.08
244,-29432.6,-92590.6,-7287.88
245,-29176.8,-91630.6,-6954.05
246,-28946,-90666.2,-6626.11
247,-28742.3,-89698.1,-6304.56
248,-28567.1,-88727.1,-5989.87
249,-28421.9,-87754.3,-5682.46
250,-28307.8,-86781,-5382.74
251,-28225.5,-85808.2,-5091.09
252,-28175.4,-84837.5,-4807.86
253,-28157.6,-83870.2,-4533.39
254,-28171.7,-82907.6,-4268.01
255,-28217.1,-81951.3,-4012.02
256,-28292.6,-81002.4,-3765.73
